CMPL	1	31657	6aa1ccf9ecc8c60d
id	category	name	lat	lon	address	description
carter-road-beach	TOURIST	Carter Road Beach	19.069070	72.822528	Bandra West, Mumbai 400050	Beach in Bandra West (400050).
juhu-beach-2	TOURIST	Juhu Beach	19.122033	72.819311	Azadnagar, Mumbai 400053	Beach in Azadnagar (400053).
janata-timber-market	TOURIST	Janata Timber Market	19.061556	72.916388	Shivaji Nagar, Mumbai 400043	Market in Shivaji Nagar (400043).
danda-beach	TOURIST	Danda Beach	19.081376	72.824571	Juhu, Mumbai 400049	Beach in Juhu (400049).
dolphin-aquarium	TOURIST	Dolphin Aquarium	19.107636	72.842815	Vile Parle West, Mumbai 400056	Aquarium in Vile Parle West (400056).
tiger-lion-safari	TOURIST	Tiger & Lion Safari	19.234631	72.875031	Borivali East, Mumbai 400066	Zoo in Borivali East (400066).
main-bazaar	TOURIST	Main Bazaar	19.174862	72.936802	Bhandup Complex, Mumbai 400082	Market in Bhandup Complex (400082).
manori-aum-beach	TOURIST	Manori Aum Beach	19.204536	72.783701	Kharodi, Mumbai 400095	Beach in Kharodi (400095).
port-trust-ww-i-memorial	TOURIST	Port Trust WW I Memorial	18.934068	72.840148	Mumbai GPO, Mumbai 400001	Memorial in Mumbai GPO (400001).
mahim-beach	TOURIST	Mahim Beach	19.044146	72.838164	Mahim, Mumbai 400016	Beach in Mahim (400016).
topiwala-vegetable-market	TOURIST	Topiwala Vegetable Market	19.163180	72.847310	Motilalnagar, Mumbai 400104	Market in Motilalnagar (400104).
wadala-market	TOURIST	Wadala Market	19.017558	72.854874	Wadala, Mumbai 400031	Market in Wadala (400031).
aksa-beach	TOURIST	Aksa Beach	19.185635	72.795867	Kharodi, Mumbai 400095	Beach in Kharodi (400095).
fort-market	TOURIST	Fort Market	18.934854	72.836607	Mumbai GPO, Mumbai 400001	Market in Mumbai GPO (400001).
dadar-flower-market	TOURIST	Dadar Flower Market	19.011855	72.837126	Bhawani Shankar, Mumbai 400028	Market in Bhawani Shankar (400028).
